trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach_unsup,config.beta_mach_sup,config.alpha_prof,config.alpha_mach,config.start_sup_time,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size,config.dataset_choice,config.scheduler_step,config.mp_hdims_aux,config.mp_hdims_cond,config.hidden_dims,config.elm_style_choice,config.loss_type
9a130_00459,0.18957693874835968,3.147613525390625,0.5070715546607971,0.5841132998466492,1.0082969665527344,True,,,100,c34453dd17a948ab9ac14c2cdc1bddd0,2022-05-24_13-24-02,1653387842,102.91822099685669,2303093,dx6-mat-32,128.214.72.230,102.91822099685669,0,100,"459_alpha_prof=566,beta_mach_unsup=0.0553,mach_latent_dim=9",0.003,9,3,5.0,0.0553,10.0,566,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00460,0.360171914100647,6.424959659576416,0.02548009343445301,0.5801217555999756,1.0888087749481201,True,,,35,8fe20a3c79614ebc9f87ce3a8d61feb3,2022-05-24_13-23-16,1653387796,36.37373399734497,2305176,dx6-mat-32,128.214.72.230,36.37373399734497,0,35,"460_alpha_prof=697,beta_mach_unsup=0.0189,mach_latent_dim=12",0.003,12,3,5.0,0.0189,10.0,697,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00461,0.6120975613594055,219.9445343017578,0.002193522872403264,1.0160845518112183,0.9069795608520508,False,,,7,3ee90ad5ea414fa2891e17915b239310,2022-05-24_13-23-24,1653387804,6.596208095550537,2308967,dx6-mat-32,128.214.72.230,6.596208095550537,0,7,"461_alpha_prof=581,beta_mach_unsup=0.0011,mach_latent_dim=8",0.003,8,3,5.0,0.0011,10.0,581,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00462,0.7300832271575928,1.1023794412612915,0.00010514990572119132,0.6654754281044006,0.9601027965545654,True,,,35,46ce4c3a30aa4609a634facbb8bf22bd,2022-05-24_13-24-03,1653387843,35.83627676963806,2309915,dx6-mat-32,128.214.72.230,35.83627676963806,0,35,"462_alpha_prof=109,beta_mach_unsup=0.0084,mach_latent_dim=6",0.003,6,3,5.0,0.008400000000000001,10.0,109,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00463,0.1950438767671585,2.9266796112060547,0.4335174262523651,0.5799254775047302,1.0231523513793945,True,,,100,23030af323024333863d34a58ddc3e7c,2022-05-24_13-25-48,1653387948,103.85353136062622,2313663,dx6-mat-32,128.214.72.230,103.85353136062622,0,100,"463_alpha_prof=542,beta_mach_unsup=0.0041,mach_latent_dim=12",0.003,12,3,5.0,0.0041,10.0,542,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00464,0.45182135701179504,5.218137264251709,0.0007482103537768126,0.6271653771400452,1.0171196460723877,True,,,35,c683037f2cd54ed4b6526597f27ba75d,2022-05-24_13-24-41,1653387881,35.269692182540894,2313717,dx6-mat-32,128.214.72.230,35.269692182540894,0,35,"464_alpha_prof=876,beta_mach_unsup=0.0008,mach_latent_dim=11",0.003,11,3,5.0,0.0008,10.0,876,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00465,0.354318767786026,5.968074321746826,0.42621544003486633,0.5850740671157837,0.9870553016662598,True,,,35,b1973c5446bf48699012da3afe6836ce,2022-05-24_13-25-18,1653387918,35.205864906311035,2317514,dx6-mat-32,128.214.72.230,35.205864906311035,0,35,"465_alpha_prof=567,beta_mach_unsup=0.0014,mach_latent_dim=9",0.003,9,3,5.0,0.0014,10.0,567,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00466,0.3209981620311737,2.884823799133301,0.5940326452255249,0.5936231017112732,1.0431463718414307,True,,,70,b496a9857f4a44e0bc05674489ef9420,2022-05-24_13-26-32,1653387992,72.0990252494812,2321330,dx6-mat-32,128.214.72.230,72.0990252494812,0,70,"466_alpha_prof=385,beta_mach_unsup=0.0014,mach_latent_dim=6",0.003,6,3,5.0,0.0014,10.0,385,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00467,0.29047805070877075,3.8726141452789307,0.23902229964733124,0.5842706561088562,1.0303914546966553,True,,,70,e8b66477e9634ef8bc0c5d9f9341b8fb,2022-05-24_13-27-02,1653388022,71.03490233421326,2324399,dx6-mat-32,128.214.72.230,71.03490233421326,0,70,"467_alpha_prof=802,beta_mach_unsup=0.0225,mach_latent_dim=7",0.003,7,3,5.0,0.022500000000000003,10.0,802,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00468,0.21531899273395538,2.4348666667938232,0.8394781947135925,0.6040287613868713,1.0459272861480713,True,,,100,f26589cc7d0f4c908865c3957a987bb2,2022-05-24_13-28-18,1653388098,104.09767198562622,2328803,dx6-mat-32,128.214.72.230,104.09767198562622,0,100,"468_alpha_prof=383,beta_mach_unsup=0.0616,mach_latent_dim=9",0.003,9,3,5.0,0.0616,10.0,383,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00469,0.21306146681308746,3.879307985305786,0.14954303205013275,0.5910855531692505,0.9924309253692627,True,,,100,0a5d00d004664aeda6d7b1e518757b64,2022-05-24_13-28-49,1653388129,105.46288514137268,2331867,dx6-mat-32,128.214.72.230,105.46288514137268,0,100,"469_alpha_prof=809,beta_mach_unsup=0.0367,mach_latent_dim=10",0.003,10,3,5.0,0.0367,10.0,809,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00470,0.473987340927124,1375.7421875,0.009325814433395863,1.1734892129898071,0.9068093299865723,False,,,10,5b158670e8e84a638edf1fc3940aae0c,2022-05-24_13-28-31,1653388111,10.246600151062012,2339558,dx6-mat-32,128.214.72.230,10.246600151062012,0,10,"470_alpha_prof=892,beta_mach_unsup=0.0001,mach_latent_dim=11",0.003,11,3,5.0,0.0001,10.0,892,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00471,0.3645339906215668,6.444759368896484,0.016404928639531136,0.5909005403518677,0.9840147495269775,True,,,35,b04c98c0ead4404da5a35e3d7fa91647,2022-05-24_13-29-09,1653388149,35.05601739883423,2340751,dx6-mat-32,128.214.72.230,35.05601739883423,0,35,"471_alpha_prof=571,beta_mach_unsup=0.0001,mach_latent_dim=9",0.003,9,3,5.0,0.0001,10.0,571,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00472,0.6668084263801575,668.66455078125,0.004397624172270298,1.0260852575302124,0.9266080856323242,False,,,5,382c39fa47fb4591a5c81cd1d3736d9d,2022-05-24_13-28-56,1653388136,4.721743106842041,2342545,dx6-mat-32,128.214.72.230,4.721743106842041,0,5,"472_alpha_prof=594,beta_mach_unsup=0.0003,mach_latent_dim=8",0.003,8,3,5.0,0.00030000000000000003,10.0,594,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00473,0.304511696100235,4.122326374053955,0.08215782791376114,0.5876792073249817,1.0129218101501465,True,,,70,230bd08368794011ae770f575fa41b37,2022-05-24_13-30-12,1653388212,72.50537943840027,2343258,dx6-mat-32,128.214.72.230,72.50537943840027,0,70,"473_alpha_prof=960,beta_mach_unsup=0.0057,mach_latent_dim=9",0.003,9,3,5.0,0.0057,10.0,960,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00474,0.657527506351471,677.6782836914062,0.004009451251477003,1.0325762033462524,0.9026412963867188,False,,,5,fd9b3fc011ac439c87b3c8a165e984b3,2022-05-24_13-29-16,1653388156,4.700260639190674,2344475,dx6-mat-32,128.214.72.230,4.700260639190674,0,5,"474_alpha_prof=584,beta_mach_unsup=0.0003,mach_latent_dim=8",0.003,8,3,5.0,0.00030000000000000003,10.0,584,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00475,0.3621921241283417,5.462944030761719,0.006918109953403473,0.568666398525238,1.0104708671569824,True,,,35,4a5f95fe7c044d8391721719b4001bcb,2022-05-24_13-29-54,1653388194,35.15373206138611,2345162,dx6-mat-32,128.214.72.230,35.15373206138611,0,35,"475_alpha_prof=392,beta_mach_unsup=0.0045,mach_latent_dim=11",0.003,11,3,5.0,0.0045000000000000005,10.0,392,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
