trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach_unsup,config.beta_mach_sup,config.alpha_prof,config.alpha_mach,config.start_sup_time,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size,config.dataset_choice,config.scheduler_step,config.mp_hdims_aux,config.mp_hdims_cond
aa7e5_00021,0.20413662493228912,14.858962059020996,0.045254770666360855,0.715083658695221,2.1812539100646973,True,,,50,0c38546aa5d74298b7dc36f0dbcf4413,2022-04-27_01-06-35,1651010795,114.57334423065186,576895,adam-der-physiker,192.168.1.121,114.57334423065186,0,50,"21_alpha_prof=140,beta_mach_unsup=0.0069",0.003,9,3,1.0,0.006900000000000001,10.0,140,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00022,0.169382244348526,11.48143482208252,1.2029844522476196,0.7024011015892029,2.1898467540740967,True,,,50,d9194526541a43649f06b4b4c47f319d,2022-04-27_01-06-56,1651010816,116.25464630126953,578200,adam-der-physiker,192.168.1.121,116.25464630126953,0,50,"22_alpha_prof=347,beta_mach_unsup=0.0421",0.003,9,3,1.0,0.042100000000000005,10.0,347,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00023,0.17770908772945404,31.47088050842285,1.4715049266815186,0.7132946252822876,2.2377870082855225,True,,,50,d0cc6da25c094a279308dde10c5e0736,2022-04-27_01-08-33,1651010913,115.51367282867432,585845,adam-der-physiker,192.168.1.121,115.51367282867432,0,50,"23_alpha_prof=408,beta_mach_unsup=0.0003",0.003,9,3,1.0,0.00030000000000000003,10.0,408,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00024,0.39591121673583984,22.884828567504883,1.6103434562683105,0.8475402593612671,2.41603422164917,True,,,35,c5e378e22e6f46ce98642d419493b774,2022-04-27_01-08-20,1651010900,81.80687141418457,587238,adam-der-physiker,192.168.1.121,81.80687141418457,0,35,"24_alpha_prof=742,beta_mach_unsup=0.0006",0.003,9,3,1.0,0.0006000000000000001,10.0,742,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00025,0.38938695192337036,18.5009765625,3.2651877403259277,0.8395689129829407,2.120025634765625,True,,,35,4b14c3d052fc4781a3b1c50d54748cd8,2022-04-27_01-09-45,1651010985,82.49986410140991,593743,adam-der-physiker,192.168.1.121,82.49986410140991,0,35,"25_alpha_prof=874,beta_mach_unsup=0.0017",0.003,9,3,1.0,0.0017000000000000001,10.0,874,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00026,0.39378565549850464,18.10301971435547,0.11374213546514511,0.8269451260566711,2.151150703430176,True,,,35,08b8a137285545a88e705979e5f14dfd,2022-04-27_01-09-58,1651010998,82.89610028266907,594608,adam-der-physiker,192.168.1.121,82.89610028266907,0,35,"26_alpha_prof=917,beta_mach_unsup=0.022",0.003,9,3,1.0,0.022000000000000002,10.0,917,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00027,0.18034152686595917,20.74955940246582,1.1531516313552856,0.7082254886627197,2.3124947547912598,True,,,50,94ab36b29ed549059addb0194bf97c27,2022-04-27_01-11-41,1651011101,113.16854953765869,600015,adam-der-physiker,192.168.1.121,113.16854953765869,0,50,"27_alpha_prof=430,beta_mach_unsup=0.0012",0.003,9,3,1.0,0.0012000000000000001,10.0,430,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00028,0.16653265058994293,15.654847145080566,2.733457565307617,0.7030723094940186,2.161020517349243,True,,,50,febff72d5a244454a9ee27f37ab5626d,2022-04-27_01-11-53,1651011113,112.70713591575623,600922,adam-der-physiker,192.168.1.121,112.70713591575623,0,50,"28_alpha_prof=933,beta_mach_unsup=0.0996",0.003,9,3,1.0,0.09960000000000001,10.0,933,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00029,0.38938695192337036,18.5009765625,3.2651877403259277,0.8395689129829407,2.1671109199523926,True,,,35,c2f39a24f84643f7b51956a4249edebd,2022-04-27_01-13-03,1651011183,80.03928875923157,609024,adam-der-physiker,192.168.1.121,80.03928875923157,0,35,"29_alpha_prof=874,beta_mach_unsup=0.0017",0.003,9,3,1.0,0.0017000000000000001,10.0,874,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00030,0.3320315480232239,12.471405029296875,4.973231792449951,0.8250016570091248,2.155090570449829,True,,,50,890048621ebb478dbcab586aa18d527c,2022-04-27_01-13-49,1651011229,112.83617401123047,609888,adam-der-physiker,192.168.1.121,112.83617401123047,0,50,"30_alpha_prof=804,beta_mach_unsup=0.0096",0.003,9,3,1.0,0.009600000000000001,10.0,804,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
