,shot,dda,FLAG:HRTSdatavalidated
250,77945.0,T001/pbilkova,1.0
251,77946.0,T001/pbilkova,1.0
252,77947.0,T001/pbilkova,1.0
253,77949.0,T001/pbilkova,1.0
254,77949.0,T002/pbilkova,1.0
255,77950.0,T001/pbilkova,1.0
256,77951.0,T001/pbilkova,2.0
257,77954.0,T001/pbilkova,1.0
258,77955.0,T001/pbilkova,1.0
259,78091.0,T003/pbohm,1.0
260,78091.0,T004/pbohm,1.0
261,78091.0,T005/pbohm,1.0
262,78098.0,T001/pbilkova,1.0
263,78098.0,T002/pbilkova,1.0
264,78104.0,T001/pbohm,1.0
265,78107.0,T001/pbilkova,1.0
266,78120.0,T001/pbilkova,1.0
267,78123.0,T001/pbilkova,1.0
268,78124.0,T001/pbilkova,1.0
269,78125.0,T001/pbilkova,2.0
270,78156.0,T001/pbilkova,1.0
271,78157.0,T001/pbilkova,1.0
272,78662.0,T001/pbilkova,0.0
273,78663.0,T001/pbilkova,2.0
274,78664.0,T001/pbilkova,0.0
275,78665.0,T001/pbilkova,2.0
276,78666.0,T001/pbilkova,2.0
277,78682.0,T002/pbohm,1.0
278,78683.0,T003/pbohm,1.0
279,78683.0,T004/pbohm,1.0
280,78684.0,T001/pbilkova,2.0
281,78686.0,T001/pbilkova,1.0
282,78686.0,T002/pbilkova,1.0
283,78713.0,T001/pbilkova,1.0
284,78714.0,T001/pbilkova,2.0
285,79192.0,T001/lfrassin,1.0
286,79192.0,T002/lfrassin,1.0
287,79193.0,T001/lfrassin,1.0
288,79193.0,T002/lfrassin,1.0
289,79195.0,T001/lfrassin,1.0
290,79195.0,T002/lfrassin,1.0
291,79197.0,T001/lfrassin,1.0
292,79198.0,T001/lfrassin,1.0
293,79136.0,T001/lfrassin,0.0
294,79137.0,T001/lfrassin,0.0
295,79137.0,T002/lfrassin,0.0
296,79138.0,T001/lfrassin,1.0
297,79140.0,T001/lfrassin,0.0
298,79210.0,T001/lfrassin,0.0
299,79211.0,T001/lfrassin,0.0
300,79213.0,T001/lfrassin,0.0
301,79214.0,T001/lfrassin,0.0
302,79214.0,T002/lfrassin,0.0
303,79215.0,T001/lfrassin,0.0
304,79215.0,T002/lfrassin,0.0
305,79216.0,T001/lfrassin,0.0
306,79283.0,T001/lfrassin,0.0
307,79498.0,T001/pbohm,1.0
308,79499.0,T001/pbohm,1.0
309,79501.0,T001/pbohm,1.0
310,79503.0,T001/pbohm,1.0
311,79505.0,T001/pbohm,1.0
312,79506.0,T001/pbohm,0.0
313,79507.0,T001/pbohm,2.0
314,79508.0,T001/pbohm,1.0
315,79509.0,T001/pbohm,0.0
316,79509.0,T002/pbohm,0.0
317,79510.0,T001/pbohm,0.0
318,79512.0,T001/pbohm,1.0
319,79513.0,T001/pbohm,1.0
320,79515.0,T001/pbohm,1.0
321,79517.0,T001/pbohm,1.0
322,79518.0,T001/pbohm,1.0
323,79521.0,T001/pbohm,0.0
324,79523.0,T002/pbohm,1.0
325,79523.0,T003/pbohm,1.0
326,79565.0,T001/pbohm,0.0
327,79566.0,T001/pbohm,0.0
328,79567.0,T001/pbohm,0.0
329,79568.0,T001/pbohm,0.0
330,79569.0,T001/pbohm,0.0
331,79569.0,T002/pbohm,0.0
332,79571.0,T001/pbohm,0.0
333,79571.0,T002/pbohm,0.0
334,79572.0,T001/pbohm,1.0
335,79573.0,T002/pbohm,1.0
336,79573.0,T003/pbohm,1.0
337,79573.0,T004/pbohm,1.0
338,79582.0,T001/pbohm,1.0
339,79584.0,T001/pbohm,1.0
340,79585.0,T001/pbohm,1.0
341,79587.0,T001/pbohm,1.0
342,79588.0,T001/pbohm,1.0
343,79589.0,T001/pbohm,1.0
344,79611.0,T002/pbohm,0.0
345,79613.0,T001/pbohm,0.0
346,79613.0,T002/pbohm,0.0
347,79614.0,T001/pbohm,0.0
348,79614.0,T002/pbohm,0.0
349,79615.0,T001/pbohm,0.0
350,79615.0,T002/pbohm,0.0
351,79619.0,T001/pbohm,0.0
