trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size
2a038_00149,0.7368870377540588,39.949066162109375,2.7502685497893253e-06,0.486441433429718,6.481363296508789,True,,,50.0,ccb283c89a134af08466da4aa335d916,2022-04-06_08-41-24,1649223684.0,319.9628381729126,669879.0,adam-der-physiker,192.168.0.9,319.9628381729126,0.0,50.0,"149_encoder_end_dense_size=432,mach_latent_dim=13",0.003,13.0,3.0,0.001,100.0,1.0,1.0,False,0.0,432.0
2a038_00150,0.21358677744865417,73.29083251953125,0.031863413751125336,0.659046471118927,6.438058137893677,True,,,40.0,32f596cc297648f1a3c8146b46306ba6,2022-04-06_08-40-26,1649223626.0,258.5150315761566,670045.0,adam-der-physiker,192.168.0.9,258.5150315761566,0.0,40.0,"150_encoder_end_dense_size=592,mach_latent_dim=11",0.003,11.0,3.0,0.001,100.0,1.0,1.0,False,0.0,592.0
2a038_00151,0.2044893205165863,58.42634963989258,0.005506971385329962,0.6293009519577026,7.311541318893433,False,,,39.0,933ded690c3d4c0eaf9293888ca102bb,2022-04-06_08-44-51,1649223891.0,262.43672132492065,677671.0,adam-der-physiker,192.168.0.9,262.43672132492065,0.0,39.0,"151_encoder_end_dense_size=800,mach_latent_dim=13",0.003,13.0,3.0,0.001,100.0,1.0,1.0,False,0.0,800.0
2a038_00152,0.10318654030561447,38.692195892333984,1.5759915113449097,0.5065109729766846,6.029492616653442,True,,,50.0,22768b716eff48f295300b0a23921073,2022-04-06_08-46-33,1649223993.0,307.00246810913086,679266.0,adam-der-physiker,192.168.0.9,307.00246810913086,0.0,50.0,"152_encoder_end_dense_size=256,mach_latent_dim=10",0.003,10.0,3.0,0.001,100.0,1.0,1.0,False,0.0,256.0
2a038_00153,0.326552152633667,46.32491683959961,0.8674663305282593,0.5113743543624878,6.271857738494873,True,,,50.0,1b10a04506b0475e87367ec2640a0f82,2022-04-06_08-50-11,1649224211.0,311.4984555244446,686547.0,adam-der-physiker,192.168.0.9,311.4984555244446,0.0,50.0,"153_encoder_end_dense_size=384,mach_latent_dim=13",0.003,13.0,3.0,0.001,100.0,1.0,1.0,False,0.0,384.0
2a038_00154,0.20541928708553314,38.40114974975586,0.5594625473022461,0.6319965124130249,6.1586384773254395,True,,,40.0,5ed91a862d45486eb9f3f190c0f53455,2022-04-06_08-50-42,1649224242.0,246.58461999893188,689394.0,adam-der-physiker,192.168.0.9,246.58461999893188,0.0,40.0,"154_encoder_end_dense_size=384,mach_latent_dim=10",0.003,10.0,3.0,0.001,100.0,1.0,1.0,False,0.0,384.0
2a038_00155,0.06465330719947815,38.64533233642578,3.01816463470459,0.5215206146240234,5.893182754516602,True,,,50.0,1c7af8ca4cc6407ebd78a7b4ea733e69,2022-04-06_08-55-10,1649224510.0,296.5108346939087,696015.0,adam-der-physiker,192.168.0.9,296.5108346939087,0.0,50.0,"155_encoder_end_dense_size=208,mach_latent_dim=7",0.003,7.0,3.0,0.001,100.0,1.0,1.0,False,0.0,208.0
2a038_00156,0.7366307973861694,33.06924057006836,3.4486884032958187e-06,0.6445019841194153,6.402865409851074,True,,,40.0,becec15bab1842188e20e612c4492ba1,2022-04-06_08-55-04,1649224504.0,259.2533836364746,697012.0,adam-der-physiker,192.168.0.9,259.2533836364746,0.0,40.0,"156_encoder_end_dense_size=608,mach_latent_dim=12",0.003,12.0,3.0,0.001,100.0,1.0,1.0,False,0.0,608.0
2a038_00157,0.0687170922756195,83.90096282958984,0.8926848769187927,0.5129664540290833,7.141630411148071,False,,,40.0,3715650aa5d44a268cff6d09e6d7b513,2022-04-06_08-59-52,1649224792.0,286.1282458305359,705035.0,adam-der-physiker,192.168.0.9,286.1282458305359,0.0,40.0,"157_encoder_end_dense_size=960,mach_latent_dim=14",0.003,14.0,3.0,0.001,100.0,1.0,1.0,False,0.0,960.0
2a038_00158,0.06553690135478973,55.00727844238281,1.6999704837799072,0.5269747972488403,6.6598546504974365,True,,,50.0,38c884c3eac64fd596641609f3716800,2022-04-06_09-00-53,1649224853.0,340.9732856750488,705247.0,adam-der-physiker,192.168.0.9,340.9732856750488,0.0,50.0,"158_encoder_end_dense_size=816,mach_latent_dim=9",0.003,9.0,3.0,0.001,100.0,1.0,1.0,False,0.0,816.0
