trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach
61aa9_00403,0.21977542340755463,45.04789352416992,0.011416013352572918,0.634898841381073,6.05348801612854,True,,,40,6bf10ff0f9d74c10ad30695dca1be6a9,2022-02-13_16-28-12,1644762492,222.7746241092682,218798,g6201.mahti.csc.fi,10.141.5.206,222.7746241092682,0,40,"403_beta_stoch=0.00115,mach_latent_dim=14",0.003,14,0.00115,100,1.0,1.0
61aa9_00404,0.3027801513671875,21.031810760498047,0.000280522188404575,0.5143120288848877,4.919059991836548,True,,,40,ecea7effac7c498188f19179acc2c8d5,2022-02-13_16-28-24,1644762504,201.9214906692505,226732,g6201.mahti.csc.fi,10.141.5.206,201.9214906692505,0,40,"404_beta_stoch=0.01845,mach_latent_dim=12",0.003,12,0.01845,100,1.0,1.0
61aa9_00405,0.07129432260990143,13.13719654083252,0.0005284765502437949,0.506984293460846,5.5240092277526855,True,,,50,5888dadb09514b9f929719911a4e35ea,2022-02-13_16-30-21,1644762621,276.803688287735,234330,g6201.mahti.csc.fi,10.141.5.206,276.803688287735,0,50,"405_beta_stoch=0.04915,mach_latent_dim=8",0.003,8,0.04915,100,1.0,1.0
61aa9_00406,0.20319117605686188,42.83146667480469,2.2408337593078613,0.6326547265052795,5.6134960651397705,True,,,50,88be3988f8a949b3be5c1a061641d800,2022-02-13_16-31-22,1644762682,286.41173458099365,241894,g6201.mahti.csc.fi,10.141.5.206,286.41173458099365,0,50,"406_beta_stoch=0.0004,mach_latent_dim=12",0.003,12,0.0004,100,1.0,1.0
61aa9_00407,0.06246848776936531,21.29459571838379,0.0007176888757385314,0.520124614238739,4.812526702880859,True,,,50,4ea524e512cc490cb888a1ea246b92c4,2022-02-13_16-30-57,1644762657,256.34117603302,242443,g6201.mahti.csc.fi,10.141.5.206,256.34117603302,0,50,"407_beta_stoch=0.0135,mach_latent_dim=10",0.003,10,0.0135,100,1.0,1.0
61aa9_00408,0.1055348739027977,12.09256649017334,0.00012204431550344452,0.517898440361023,5.401106119155884,True,,,50,2a89f4aa824640508cd7aad42de098cc,2022-02-13_16-32-33,1644762753,273.5199544429779,257401,g6201.mahti.csc.fi,10.141.5.206,273.5199544429779,0,50,"408_beta_stoch=0.07405,mach_latent_dim=8",0.003,8,0.07405,100,1.0,1.0
61aa9_00409,0.07662371546030045,20.470186233520508,16.63688087463379,0.5304180979728699,5.65716290473938,True,,,50,026bd0eef4864792922e72dfa22a7fe2,2022-02-13_16-32-51,1644762771,276.500027179718,261248,g6201.mahti.csc.fi,10.141.5.206,276.500027179718,0,50,"409_beta_stoch=0.00015,mach_latent_dim=5",0.003,5,0.00015000000000000001,100,1.0,1.0
61aa9_00410,0.7369781732559204,18.64497947692871,7.2552879828435834e-06,0.5206053256988525,4.965607166290283,True,,,40,ca0898dae9a046d38c856c9456b195b8,2022-02-13_16-31-58,1644762718,211.35945796966553,3921,g6201.mahti.csc.fi,10.141.5.206,211.35945796966553,0,40,"410_beta_stoch=0.00535,mach_latent_dim=9",0.003,9,0.005350000000000001,100,1.0,1.0
61aa9_00411,0.2519444227218628,5.2289347648620605,3.3271444408455864e-05,0.6636477112770081,5.304160118103027,True,,,40,e587cf55486b41da8c919f3e20df9b6d,2022-02-13_16-32-28,1644762748,219.3776571750641,8833,g6201.mahti.csc.fi,10.141.5.206,219.3776571750641,0,40,"411_beta_stoch=0.1882,mach_latent_dim=14",0.003,14,0.1882,100,1.0,1.0
61aa9_00412,0.2403033822774887,3.8295271396636963,6.738512638548855e-06,0.6577591896057129,4.653931140899658,True,,,40,2c4ae5d37a8042189f4dbc5d4aeb5b0a,2022-02-13_16-32-35,1644762755,205.1482481956482,13327,g6201.mahti.csc.fi,10.141.5.206,205.1482481956482,0,40,"412_beta_stoch=0.5519,mach_latent_dim=8",0.003,8,0.5519000000000001,100,1.0,1.0
